normalized_part_number,models,model_count,part_number_variants,descriptions,categories,record_count,source_file
100-PLX500-2017,PLX-500K,1,100-PLX500-2017,SPEED PUSH BUTTON K,Turntable,1,parts_01.csv
100-PLX500W-2017,PLX-500W,1,100-PLX500W-2017,SPEED PUSH BUTTON W,Turntable,1,parts_01.csv
100-PNTT-3093,PLX-1000,1,100-PNTT-3093,33/45 KNOB,Turntable,1,parts_01.csv
100-PNTT-3094,PLX-1000,1,100-PNTT-3094,TEMPO RESET BUTTON,Turntable,1,parts_01.csv
100-PNTT-3095,PLX-1000,1,100-PNTT-3095,TEMPO RANGE BUTTON,Turntable,1,parts_01.csv
100-PNTT-3096,PLX-1000,1,100-PNTT-3096,SPEED BUTTON,Turntable,1,parts_01.csv
100-PNTT-3100,PLX-1000,1,100-PNTT-3100,SHELL STAND,Turntable,1,parts_01.csv
100-PNTT-3113,PLX-1000,1,100-PNTT-3113,BUTTON BASE,Turntable,1,parts_01.csv
1S2473,SX-535,1,1S2473,Diode,Receiver,1,parts_01.csv
200-DJ3000-211,PLX-500K; PLX-500W,2,200-DJ3000-211,45 RPM ADAPTOR (AL),Turntable,2,parts_01.csv
200-PNTT-211A,PLX-1000,1,200-PNTT-211A,45 RPM ADAPTOR(AL),Turntable,1,parts_01.csv
200-PNTT-693,PLX-1000,1,200-PNTT-693,SUB WEIGHT,Turntable,1,parts_01.csv
200-ST100-268,PLX-1000; PLX-500K; PLX-500W,3,200-ST100-268,SHELL WEIGHT,Turntable,3,parts_01.csv
200-TT100-232C,PLX-500K; PLX-500W,2,200-TT100-232C,ALUMINIUM PLATTER (15 MM),Turntable,2,parts_01.csv
"258706-R, S or Q",SX-1280,1,"258706-R, S or Q",Transistor,Receiver,1,parts_01.csv
28432526,SA-9800,1,28432526-G,Transistor,Integrated Amplifier,4,parts_01.csv
288531A,SX-850,1,288531A-R,Transistor,Receiver,2,parts_01.csv
2SA1075-G (2SA1075-B),SX-3700; SX-820,2,2SA1075-G (2SA1075-B),Transistor,Receiver,2,parts_01.csv
2SA1075/A,SA-7800,1,2SA1075/A,Transistor,Integrated Amplifier,2,parts_01.csv
2SA1075/A/,SA-708; SA-8800,2,2SA1075/A/-G,Transistor,Integrated Amplifier,5,parts_01.csv
2SA1075A/,SA-710,1,2SA1075A/,Transistor,Integrated Amplifier,1,parts_01.csv
2SA1076,SA-9800; SX-3900,2,2SA1076; 2SA1076-G,Transistor,Integrated Amplifier; Receiver,5,parts_01.csv
2SA1076/A/-B (2SA1076/A/-G),A-9,1,2SA1076/A/-B (2SA1076/A/-G),Transistor,Integrated Amplifier,1,parts_01.csv
2SA1104/A/-Y (2SA1104/A/-O) (2SA1104/A/-P),SX-6,1,2SA1104/A/-Y (2SA1104/A/-O) (2SA1104/A/-P),Power transistor  (hfe of 2SA1104/A/ and 2SC2579/A/ should have the same value.),Receiver,1,parts_01.csv
2SA1186/A/,A-90,1,2SA1186/A/,Power transistor (Q11); Power transistor (Q12),Integrated Amplifier,2,parts_01.csv
2SA1294/A/-0 (2SA1294/A/-Y),A-90,1,2SA1294/A/-0 (2SA1294/A/-Y),"Power transistor (Q8, Q10); Power transistor (Q9, Q7)",Integrated Amplifier,2,parts_01.csv
"2SA679-R or Y (2SA747-R, O or Y)",QX-949A,1,"2SA679-R or Y (2SA747-R, O or Y)",Transistor,Receiver,1,parts_01.csv
"2SA679S-V or R (2SA747A-R, O or Y)",SA-9900,1,"2SA679S-V or R (2SA747A-R, O or Y)",Transistor,Integrated Amplifier,2,parts_01.csv
"2SA679S-Y or R (2SA747A-R, O or Y)",SA-9900,1,"2SA679S-Y or R (2SA747A-R, O or Y)",Transistor,Integrated Amplifier,2,parts_01.csv
2SA744-R or O,M-22,1,2SA744-R or O,Transistor,Amplifier,4,parts_01.csv
"2SA747A-R, O or Y/2SA679S-R or Y/2SB539P-K, L or M",SX-1010,1,"2SA747A-R, O or Y/2SA679S-R or Y/2SB539P-K, L or M",Transistor,Receiver,4,parts_01.csv
2SB 541,SX-750,1,2SB 541-R,Transistor,Receiver,2,parts_01.csv
2SB530-R or O (2SA745-R or O),QX-747A,1,2SB530-R or O (2SA745-R or O),Transistor,Receiver,2,parts_01.csv
"2SB530-R or O (2SA745-R, O or Y)",QX-949A,1,"2SB530-R or O (2SA745-R, O or Y)",Transistor,Receiver,1,parts_01.csv
2SB531A,SX-850,1,2SB531A-R,Transistor,Receiver,2,parts_01.csv
2SB531S-R or O (2SA756S-B or C),QX-747A,1,2SB531S-R or O (2SA756S-B or C),Transistor,Receiver,2,parts_01.csv
2SB539C,SX-1050,1,2SB539C-S,Transistor,Receiver,4,parts_01.csv
"2SB541P-L or M (2SA745A-R, O or Y) (2SB530S-R, O or Y)",SX-939,1,"2SB541P-L or M (2SA745A-R, O or Y) (2SB530S-R, O or Y)",Transistor,Receiver,4,parts_01.csv
"2SB541P-S or R (2SB530S-R, O or Y) (2SA745A-R, O or Y)",SA-9500,1,"2SB541P-S or R (2SB530S-R, O or Y) (2SA745A-R, O or Y)",Transistor,Integrated Amplifier,4,parts_01.csv
2SB554-H or O (2SB600-R or S),SPEC-4,1,2SB554-H or O (2SB600-R or S),Transistor,Amplifier,1,parts_01.csv
2SB554-R or O (2SB600-R or S),SPEC-4,1,2SB554-R or O (2SB600-R or S),Transistor,Amplifier,3,parts_01.csv
2SB557,SX-950,1,2SB557-R,Transistor,Receiver,3,parts_01.csv
2SB557- R,SX-950,1,2SB557- R,Transistor,Receiver,1,parts_01.csv
2SB600,SX-1250,1,2SB600-R,Transistor,Receiver,4,parts_01.csv
2SB616A40 or 2SB616A,SX-3500,1,2SB616A40 or 2SB616A-R,Transistor,Receiver,1,parts_01.csv
2SB617A/A/-R or Q,SA-8500II,1,2SB617A/A/-R or Q,Transistor,Integrated Amplifier,1,parts_01.csv
2SB618A-R or Q,SA-606; SA-6700,2,2SB618A-R or Q,Transistor,Integrated Amplifier,4,parts_01.csv
2SB618A/A/-R or Q,SA-9500II,1,2SB618A/A/-R or Q,Transistor,Integrated Amplifier,1,parts_01.csv
2SB701/A/-5 or C,SX-1080,1,2SB701/A/-5 or C,Transistor,Receiver,1,parts_01.csv
2SB701/A/-B or C,SX-1080,1,2SB701/A/-B or C,Transistor,Receiver,3,parts_01.csv
2SB701S-B or C,SA-706; SA-7700,2,2SB701S-B or C,Transistor,Integrated Amplifier,4,parts_01.csv
2SB705A,SA-6800/608,1,2SB705A-R,Transistor,Integrated Amplifier,2,parts_01.csv
2SB705A/A-R or S,SX-880/890,1,2SB705A/A-R or S,Transistor,Receiver,1,parts_01.csv
"2SB706-Q or R, S",SX-980,1,"2SB706-Q or R, S",Transistor,Receiver,2,parts_01.csv
"2SB706-R, S or Q",SX-1280,1,"2SB706-R, S or Q",Transistor,Receiver,3,parts_01.csv
"2SB706A-R,S or Q",SX-1980,1,"2SB706A-R,S or Q",Transistor,Receiver,6,parts_01.csv
2SB758A,SA-3000,1,2SB758A,Transistor,Integrated Amplifier,1,parts_01.csv
2SB773A-Q (2SB773A-R),SX-3600/720,1,2SB773A-Q (2SB773A-R),Transistor,Receiver,1,parts_01.csv
"2SC1079-R or Y (2SC1116-R, O or Y)",QX-949A,1,"2SC1079-R or Y (2SC1116-R, O or Y)",Transistor,Receiver,1,parts_01.csv
"2SC1079S-Y or R (2SC1116A-R, O or V)",SA-9900,1,"2SC1079S-Y or R (2SC1116A-R, O or V)",Transistor,Integrated Amplifier,2,parts_01.csv
"2SC1079S-Y or R (2SC111GA-R, O or V)",SA-9900,1,"2SC1079S-Y or R (2SC111GA-R, O or V)",Transistor,Integrated Amplifier,2,parts_01.csv
"2SC1116A-R, O or Y/2SC1079S-R or Y/2SD287P-K, L or M",SX-1010,1,"2SC1116A-R, O or Y/2SC1079S-R or Y/2SD287P-K, L or M",Transistor,Receiver,4,parts_01.csv
2SC1402-R or O,M-22,1,2SC1402-R or O,Transistor,Amplifier,4,parts_01.csv
2SC1444-O or Y,RT-1020L,1,2SC1444-O or Y,Transistor,Reel To Reel Tape,2,parts_01.csv
2SC2525-G (2SC2525-B),SX-3700; SX-820,2,2SC2525-G (2SC2525-B),Transistor,Receiver,2,parts_01.csv
2SC2525/A,SA-710; SA-7800,2,2SC2525/A,Transistor,Integrated Amplifier,3,parts_01.csv
2SC2525/A/,SA-708; SA-8800,2,2SC2525/A/-G,Transistor,Integrated Amplifier,5,parts_01.csv
2SC2526,SX-3900,1,2SC2526,Transistor,Receiver,1,parts_01.csv
2SC2526/A/-B (2SC2526/A/-G),A-9,1,2SC2526/A/-B (2SC2526/A/-G),Transistor,Integrated Amplifier,1,parts_01.csv
2SC2579/A/-Y (2SC2579/A/-O) (2SC2579/A/-P),SX-6,1,2SC2579/A/-Y (2SC2579/A/-O) (2SC2579/A/-P),Power transistor  (hfe of 2SA1104/A/ and 2SC2579/A/ should have the same value.),Receiver,1,parts_01.csv
2SC2837/A/,A-90,1,2SC2837/A/,Power transistor (Q1); Power transistor (Q2),Integrated Amplifier,2,parts_01.csv
2SC3263/A/-0 (2SC3263/A/-Y),A-90,1,2SC3263/A/-0 (2SC3263/A/-Y),"Power transistor (Q3, Q5)",Integrated Amplifier,1,parts_01.csv
2SC3263/A/O (2SC3263/A/-Y),A-90,1,2SC3263/A/O (2SC3263/A/-Y),"Power transistor (Q4, Q6)",Integrated Amplifier,1,parts_01.csv
2SC789,RT-1011L,1,2SC789,Transistor,Reel To Reel Tape,1,parts_01.csv
2SC789-0 or Y,RT-1011L,1,2SC789-0 or Y,Transistor,Reel To Reel Tape,1,parts_01.csv
2SD 338,SX-750,1,2SD 338-H,Transistor,Receiver,2,parts_01.csv
2SD226 or 2SD130,SX-440,1,2SD226 or 2SD130,Transistor,Receiver,4,parts_01.csv
2SD287C,SX-1050,1,2SD287C-S,Transistor,Receiver,4,parts_01.csv
"2SD370-R or 0 (2SC1403-R, O or Y)",QX-949A,1,"2SD370-R or 0 (2SC1403-R, O or Y)",Transistor,Receiver,1,parts_01.csv
2SD370-R or O (2SC1403-R or O),QX-747A,1,2SD370-R or O (2SC1403-R or O),Transistor,Receiver,2,parts_01.csv
2SD371A,SX-850,1,2SD371A-R,Transistor,Receiver,4,parts_01.csv
2SD371S-R or O (2SC1030S-B or C),QX-747A,1,2SD371S-R or O (2SC1030S-B or C),Transistor,Receiver,2,parts_01.csv
"2SD388P-L or M (2SC1403A-R, O or Y) (2SD370S-R, O or Y)",SX-939,1,"2SD388P-L or M (2SC1403A-R, O or Y) (2SD370S-R, O or Y)",Transistor,Receiver,4,parts_01.csv
"2SD388P-S or R (2SD370S-R, O or Y) (2SC1403A-R, O or Y)",SA-9500,1,"2SD388P-S or R (2SD370S-R, O or Y) (2SC1403A-R, O or Y)",Transistor,Integrated Amplifier,4,parts_01.csv
2SD424-H or O (2SD555-R or S),SPEC-4,1,2SD424-H or O (2SD555-R or S),Transistor,Amplifier,1,parts_01.csv
2SD424-R or O (2SD555-R or S),SPEC-4,1,2SD424-R or O (2SD555-R or S),Transistor,Amplifier,3,parts_01.csv
2SD427,SX-950,1,2SD427-R,Transistor,Receiver,4,parts_01.csv
2SD555,SX-1250,1,2SD555-R,Transistor,Receiver,4,parts_01.csv
2SD586A-Q or 2SD586A,SX-3500,1,2SD586A-Q or 2SD586A-R,Transistor,Receiver,1,parts_01.csv
2SD587A/A/-R or Q,SA-8500II,1,2SD587A/A/-R or Q,Transistor,Integrated Amplifier,1,parts_01.csv
2SD588A-R or Q,SA-606; SA-6700,2,2SD588A-R or Q,Transistor,Integrated Amplifier,4,parts_01.csv
2SD588A/A/-R or Q,SA-9500II,1,2SD588A/A/-R or Q,Transistor,Integrated Amplifier,1,parts_01.csv
2SD737/A/-B or C,SX-1080,1,2SD737/A/-B or C; 2SD737/A/-B Or C,Transistor,Receiver,4,parts_01.csv
2SD737S-B or C,SA-706; SA-7700,2,2SD737S-B or C,Transistor,Integrated Amplifier,4,parts_01.csv
2SD745A,SA-6800/608,1,2SD745A-R,Transistor,Integrated Amplifier,2,parts_01.csv
2SD745A/A-R or S,SX-880/890,1,2SD745A/A-R or S,Transistor,Receiver,1,parts_01.csv
"2SD746-Q or R, S",SX-980,1,"2SD746-Q or R, S",Transistor,Receiver,2,parts_01.csv
"2SD746-R, S or Q",SX-1280,1,"2SD746-R, S or Q",Transistor,Receiver,4,parts_01.csv
"2SD746A-R,S or Q",SX-1980,1,"2SD746A-R,S or Q",Transisior; Transistor,Receiver,6,parts_01.csv
2SD848A,SA-3000,1,2SD848A,Transistor,Integrated Amplifier,1,parts_01.csv
2SD883A-Q (2SD883A-R),SX-3600/720,1,2SD883A-Q (2SD883A-R),Transistor,Receiver,1,parts_01.csv
406-PLX-1288,PLX-1000,1,406-PLX-1288,1P GROUND WIRE(L=150),Turntable,1,parts_01.csv
408-PL50-068,PLX-500K; PLX-500W,2,408-PL50-068,SIGNAL WIRE,Turntable,2,parts_01.csv
408-PLX-140,PLX-1000,1,408-PLX-140,2P SIGNAL WIRE(L=150),Turntable,1,parts_01.csv
408-SUB-132,PLX-500K; PLX-500W,2,408-SUB-132,USB CABLE,Turntable,2,parts_01.csv
409-DJ2-069A,PLX-500K; PLX-500W,2,409-DJ2-069A,AC CORD UL=1900,Turntable,2,parts_01.csv
409-HDJ7100-054D-HA,PLX-1000,1,409-HDJ7100-054D-HA,POWER CORD WITH PLUG,Turntable,1,parts_01.csv
411-PLX-912,PLX-1000,1,411-PLX-912,TRANSFORMER(AC115/23,Turntable,1,parts_01.csv
420-PLX-396,PLX-1000,1,420-PLX-396,1P RCA JACK(T7543-AA,Turntable,1,parts_01.csv
